Wall time,Step,Value
1747546125.1876302,227,-2.90625
1747546202.4221666,228,-0.53125
1747546276.940143,229,0.25
1747546346.7798264,230,-3.34375
1747546407.503186,231,-1.8125
1747546485.4532905,232,-2.5
1747546556.7948372,233,-1.625
1747546638.9594476,234,-3.34375
1747546717.5389636,235,-0.0625
1747546803.6897352,236,-1.40625
1747546870.8646524,237,0.25
1747546944.6618361,238,-3.90625
1747547023.1519332,239,-2.21875
1747547102.2530243,240,-0.8125
1747547163.414745,241,-2.125
1747547228.3642225,242,-1.53125
1747547301.8227859,243,-2.875
1747547366.5132437,244,-1.90625
1747547441.016612,245,0.15625
1747547518.3203309,246,-1.96875
1747547580.4543583,247,2.34375
1747547643.1075478,248,-4.09375
1747547720.491019,249,-2.875
1747547786.8550184,250,-0.34375
1747547849.4309466,251,-2.8125
1747547927.241612,252,-4.5
1747547992.3582494,253,-2.5625
1747548061.4168708,254,0.34375
1747548128.6586962,255,1.34375
1747548199.326086,256,0.0
1747548271.3467646,257,-4.09375
1747548349.1759074,258,-4.09375
1747548427.6764688,259,1.53125
1747548507.791232,260,-0.34375
1747548572.1082165,261,-0.53125
1747548640.4883215,262,0.25
1747548700.5992777,263,-3.28125
1747548761.3976386,264,-2.875
1747548829.8441064,265,-4.09375
1747548896.5887978,266,-1.3125
1747548967.8572946,267,-2.125
1747549037.766562,268,-2.40625
1747549100.4014237,269,-1.3125
1747549184.5912843,270,2.0
1747549254.397535,271,-3.3125
1747549335.0595818,272,-2.21875
