Wall time,Step,Value
1747543642.7958028,192,0.0007999999797903001
1747543708.5953689,193,0.0026000000070780516
1747543773.5737557,194,0.0007999999797903001
1747543841.284966,195,0.0010000000474974513
1747543918.5473156,196,0.0007999999797903001
1747543990.4543996,197,0.0010000000474974513
1747544062.9845154,198,0.0008999999845400453
1747544133.270797,199,0.0007999999797903001
1747544199.4826791,200,0.0010999999940395355
1747544267.4617827,201,0.0010000000474974513
1747544336.4105217,202,0.0008999999845400453
1747544406.7255783,203,0.0010000000474974513
1747544468.598854,204,0.0020000000949949026
1747544533.4241362,205,0.0007999999797903001
1747544603.5426939,206,0.0012000000569969416
1747544673.9921932,207,0.0007999999797903001
1747544757.924664,208,0.0010999999940395355
1747544816.7026532,209,0.0010000000474974513
1747544900.9807487,210,0.0012000000569969416
1747544973.374528,211,0.00139999995008111
1747545041.6214626,212,0.0012000000569969416
1747545117.6189592,213,0.0010000000474974513
1747545183.81599,214,0.000699999975040555
1747545249.1996093,215,0.0008999999845400453
1747545339.9778292,216,0.0008999999845400453
1747545410.5191133,217,0.0007999999797903001
1747545486.7840223,218,0.0012000000569969416
1747545558.63103,219,0.0010000000474974513
1747545622.4893394,220,0.0006000000284984708
1747545688.0443263,221,0.0006000000284984708
1747545762.2642918,222,0.0008999999845400453
1747545844.68631,223,0.0007999999797903001
1747545908.245155,224,0.0008999999845400453
1747545972.784457,225,0.0008999999845400453
1747546043.6201804,226,0.0008999999845400453
1747546125.1873074,227,0.000699999975040555
1747546202.421832,228,0.000699999975040555
1747546276.9397922,229,0.0007999999797903001
1747546346.7795024,230,0.000699999975040555
1747546407.5028436,231,0.0010000000474974513
1747546485.4529712,232,0.0007999999797903001
1747546556.794517,233,0.0006000000284984708
1747546638.9591265,234,0.000699999975040555
1747546717.538621,235,0.0008999999845400453
1747546803.689404,236,0.000699999975040555
1747546870.8643315,237,0.0007999999797903001
1747546944.6615124,238,0.000699999975040555
1747547023.1516058,239,0.0007999999797903001
1747547102.2526946,240,0.0007999999797903001
1747547163.4144151,241,0.000699999975040555
1747547228.3638742,242,0.000699999975040555
1747547301.822455,243,0.0006000000284984708
1747547366.5129187,244,0.0006000000284984708
1747547441.0162866,245,0.0006000000284984708
1747547518.3200073,246,0.0005000000237487257
1747547580.4540308,247,0.0007999999797903001
1747547643.1072192,248,0.000699999975040555
1747547720.490678,249,0.0006000000284984708
1747547786.8546708,250,0.000699999975040555
1747547849.4306018,251,0.0012000000569969416
1747547927.241289,252,0.0006000000284984708
1747547992.3579183,253,0.0010000000474974513
1747548061.4165378,254,0.0007999999797903001
1747548128.6583648,255,0.0008999999845400453
1747548199.3257563,256,0.0007999999797903001
1747548271.3464327,257,0.0007999999797903001
1747548349.175574,258,0.000699999975040555
1747548427.6761448,259,0.0008999999845400453
1747548507.790908,260,0.0008999999845400453
1747548572.107873,261,0.0007999999797903001
1747548640.4879794,262,0.0012000000569969416
1747548700.5989408,263,0.0010999999940395355
1747548761.397302,264,0.0007999999797903001
1747548829.8437467,265,0.00139999995008111
1747548896.5884717,266,0.0010000000474974513
1747548967.8569674,267,0.0007999999797903001
1747549037.7662373,268,0.000699999975040555
1747549100.4011033,269,0.0012000000569969416
1747549184.590964,270,0.0007999999797903001
1747549254.3971987,271,0.0008999999845400453
1747549335.0592413,272,0.0010000000474974513
1747549399.524951,273,0.0007999999797903001
